trial_key,rep,trt,nrate_lbac,yield_buac
abel_23,1,red,120,189.8
abel_23,1,typ,150,166.9
abel_23,2,red,120,190.9
abel_23,2,typ,150,184.3
abel_23,3,red,120,187
abel_23,3,typ,150,182.3
abel_23,4,red,120,183.6
abel_23,4,typ,150,175.3
amun1_23,1,red,168,229.7
amun1_23,1,typ,207,231.5
amun1_23,2,red,168,228.6
amun1_23,2,typ,207,235.4
amun1_23,3,red,168,223
amun1_23,3,typ,207,225.7
amun1_23,4,red,168,222.4
amun1_23,4,typ,207,231.6
amun2_23,1,red,168,153.4
amun2_23,1,typ,207,149.2
amun2_23,2,red,168,132.4
amun2_23,2,typ,207,151
amun2_23,3,red,168,144.9
amun2_23,3,typ,207,164.1
amun2_23,4,red,168,152
amun2_23,4,typ,207,163.4
ande_23,1,red,155,220.8589112
ande_23,1,typ,204.7,227.5233609
ande_23,2,red,155,222.3690296
ande_23,2,typ,204.7,227.1280473
ande_23,3,red,155,NA
ande_23,3,typ,204.7,233.2217751
auke_23,1,red,180,223.2960947
auke_23,1,typ,232,235.8153846
auke_23,2,red,180,224.8076923
auke_23,2,typ,232,237.3021302
auke_23,3,red,180,227.5253254
auke_23,3,typ,232,238.104497
auke_23,4,red,180,223.860355
auke_23,4,typ,232,239.8523077
bake1_23,1,red,120,155.4
bake1_23,1,typ,140,179.6
bake1_23,2,red,120,171.8
bake1_23,2,typ,140,185.6
bake1_23,3,red,120,171.8
bake1_23,3,typ,140,185.4
bake1_23,4,red,120,174.8
bake1_23,4,typ,140,185.5
bake2_23,1,red,120,199.1
bake2_23,1,typ,140,185.3
bake2_23,2,red,120,196.7
bake2_23,2,typ,140,202
bake2_23,3,red,120,191.6
bake2_23,3,typ,140,196.7
bake2_23,4,red,120,183.9
bake2_23,4,typ,140,190.5
benn_23,1,red,118,214.6
benn_23,1,typ,160,232.6
benn_23,2,red,118,215.7
benn_23,2,typ,160,232.1
benn_23,3,red,118,214.9
benn_23,3,typ,160,235.5
benn_23,4,red,118,218.4
benn_23,4,typ,160,237.5
borc_23,1,red,111,219
borc_23,1,typ,141,216.2
borc_23,2,red,111,212.2
borc_23,2,typ,141,203.5
borc_23,3,red,111,236.5
borc_23,3,typ,141,226.3
borc_23,4,red,111,208.8
borc_23,4,typ,141,207.5
boye_23,1,red,130,255.4
boye_23,1,typ,180,262.9
boye_23,2,red,130,255.4
boye_23,2,typ,180,253.8
boye_23,3,red,130,254.7
boye_23,3,typ,180,257.6
boye_23,4,red,130,254.7
boye_23,4,typ,180,290.1
brag_23,1,red,114.5,177.9
brag_23,1,typ,157,183.1
brag_23,2,red,114.5,155.2
brag_23,2,typ,157,157
brag_23,3,red,114.5,134.7
brag_23,3,typ,157,112.6
deng_23,1,red,150,173.8
deng_23,1,typ,170,191.3
deng_23,2,red,150,191.4
deng_23,2,typ,170,195.1
deng_23,3,red,150,185.9
deng_23,3,typ,170,200.1
deng_23,4,red,150,196.6
deng_23,4,typ,170,201.4
harv_23,1,red,103.33,191
harv_23,1,typ,140.33,189
harv_23,2,red,103.33,179.8
harv_23,2,typ,140.33,190.9
harv_23,3,red,103.33,186.2
harv_23,3,typ,140.33,189.8
harv_23,4,red,103.33,184.3
harv_23,4,typ,140.33,186
hiem_23,1,red,110,195.9
hiem_23,1,typ,152,194.9
hiem_23,2,red,110,196.9
hiem_23,2,typ,152,206.9
hiem_23,3,red,110,187.5
hiem_23,3,typ,152,200.5
hiem_23,4,red,110,204.8
hiem_23,4,typ,152,196.7
holli_23,1,red,178,215.2
holli_23,1,typ,218,220.5
holli_23,2,red,178,207.7
holli_23,2,typ,218,216.2
holli_23,3,red,178,220.7
holli_23,3,typ,218,220.2
holli_23,4,red,178,230.1
holli_23,4,typ,218,224.2
krue_23,1,red,128,229.14
krue_23,1,typ,153,243.3
krue_23,2,red,128,237.94
krue_23,2,typ,153,232.71
krue_23,3,red,128,227.15
krue_23,3,typ,153,240.49
krue_23,4,red,128,230.34
krue_23,4,typ,153,253.14
krue_23,5,red,128,220.16
krue_23,5,typ,153,241.12
mcca1_23,1,red,127,190.9
mcca1_23,1,typ,177,194
mcca1_23,2,red,127,185.4
mcca1_23,2,typ,177,206.6
mcca1_23,3,red,127,180.6
mcca1_23,3,typ,177,191.6
mcca1_23,4,red,127,170.6
mcca1_23,4,typ,177,191.2
mcca2_23,1,red,127,205.1
mcca2_23,1,typ,177,200.7
mcca2_23,2,red,127,196.5
mcca2_23,2,typ,177,204.8
mcca2_23,3,red,127,204.8
mcca2_23,3,typ,177,204.4
mcca2_23,4,red,127,187.8
mcca2_23,4,typ,177,196.5
pete_23,1,red,100,192
pete_23,1,typ,150,208
pete_23,2,red,100,190
pete_23,2,typ,150,204
prev_23,1,red,150,165
prev_23,1,typ,203,171
prev_23,2,red,150,164
prev_23,2,typ,203,168
prev_23,3,red,150,163
prev_23,3,typ,203,172
prev_23,4,red,150,164
prev_23,4,typ,203,168
vanh_23,1,red,60,151.6159059
vanh_23,1,typ,120,148.5386824
vanh_23,2,red,60,153.5304
vanh_23,2,typ,120,155.6854588
vanh_23,3,red,60,135.8990118
vanh_23,3,typ,120,154.6329882
vanh_23,4,red,60,134.8164706
vanh_23,4,typ,120,155.5050353
veen_23,1,red,140,245.1
veen_23,1,typ,160,238.7
veen_23,2,red,140,232.8
veen_23,2,typ,160,229.8
veen_23,3,red,140,220
veen_23,3,typ,160,237.2
veen_23,4,red,140,228.5
veen_23,4,typ,160,231.4
